method,gamma,lambda1,lambda2,lambda_e,lambda_e1,lambda_e21,lambda_z,val_ari,val_f1,score
SSC-TV-E1E21-L21-PQ,0.01,,,,0.2,0.2,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-E1E21-L21-PQ,0.1,,,,0.2,0.2,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,0.2,0.2,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-E1E21-L21-PQ,0.01,,,,0.2,1.0,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-E1E21-L21-PQ,0.1,,,,0.2,1.0,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,0.2,1.0,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-E1E21-L21-PQ,0.01,,,,1.0,0.05,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-E1E21-L21-PQ,0.1,,,,1.0,0.05,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,1.0,0.05,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-E1E21-L21-PQ,0.01,,,,1.0,0.2,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-E1E21-L21-PQ,0.1,,,,1.0,0.2,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,1.0,0.2,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-E1E21-L21-PQ,0.01,,,,1.0,1.0,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-E1E21-L21-PQ,0.1,,,,1.0,1.0,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-E1E21-L21-PQ,0.5,,,,1.0,1.0,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
OSC,,0.01,0.1,,,,,0.9956362441095343,0.875,1.2143862441095343
OSC,,0.01,0.5,,,,,0.9956362441095343,0.875,1.2143862441095343
OSC,,0.01,1.0,,,,,0.9964036156718113,0.875,1.2151536156718112
OSC,,0.01,2.0,,,,,0.9956676274142648,0.875,1.2144176274142648
OSC,,0.01,5.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,0.01,10.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,0.05,0.1,,,,,0.9956362441095343,0.875,1.2143862441095343
OSC,,0.05,0.5,,,,,0.9956362441095343,0.875,1.2143862441095343
OSC,,0.05,1.0,,,,,0.9964036156718113,0.875,1.2151536156718112
OSC,,0.05,2.0,,,,,0.9956676274142648,0.875,1.2144176274142648
OSC,,0.05,5.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,0.05,10.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,0.1,0.1,,,,,0.9956362441095343,0.875,1.2143862441095343
OSC,,0.1,0.5,,,,,0.9956362441095343,0.875,1.2143862441095343
OSC,,0.1,1.0,,,,,0.9964036156718113,0.875,1.2151536156718112
OSC,,0.1,2.0,,,,,0.9956676274142648,0.875,1.2144176274142648
OSC,,0.1,5.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,0.1,10.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,0.5,0.1,,,,,0.9949002558519879,0.875,1.213650255851988
OSC,,0.5,0.5,,,,,0.9949002558519879,0.875,1.213650255851988
OSC,,0.5,1.0,,,,,0.9956676274142648,0.875,1.2144176274142648
OSC,,0.5,2.0,,,,,0.9956676274142648,0.875,1.2144176274142648
OSC,,0.5,5.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,0.5,10.0,,,,,0.996383271337395,0.875,1.215133271337395
OSC,,1.0,0.1,,,,,0.9949002558519879,0.8625,1.210525255851988
OSC,,1.0,0.5,,,,,0.9956676274142648,0.8625,1.2112926274142648
OSC,,1.0,1.0,,,,,0.9956676274142648,0.8625,1.2112926274142648
OSC,,1.0,2.0,,,,,0.9956676274142648,0.8625,1.2112926274142648
OSC,,1.0,5.0,,,,,0.996383271337395,0.8625,1.212008271337395
OSC,,1.0,10.0,,,,,0.996383271337395,0.8625,1.212008271337395
